question,reference_context
ใน GIS วิชาถ้าเราไม่ผ่านวิชา CP 372 002 จะไม่สามารถลงวิชาไหนได้บ้าง,"CP 373 004 ภูมิสารสนเทศศาสตร์ประยุกต์
 
 3(2-3-6)
 
 
 
 Applied Geo-informatics
 
 
 
 เงื่อนไขของรายวิชา: CP 372 002 และ CP 372 011 หรือ SC 332 002 และ SC
 
 332 011#
 
 
 
 การประยุกต์ภูมิสารสนเทศในด้านการส ารวจทรัพยากรธรรมชาติและสิ่งแวดล้อม กระบวนการของ
 
 โลก การพัฒนาแบบยั่งยืนและการจัดการทรัพยากรแบบบูรณาการ การเฝ้าติดตามภัยพิบัติทางธรรมชาติและ
 
 การจัดการ การวิเคราะห์ทางสิ่งแวดล้อม การประยุกต์ภูมิสารสนเทศในหัวข้อต่าง ๆ
 
 Geo-information applications in natural resources and environment observation, earth
 
 process, sustainable development and integrated resources management, natural disaster
 
 monitoring and management, environmental analysis, the applications of geo-informatics in
 
 several topics
 
 ===========================================================
 
 CP 373 032
 
 
 
 การเขียนโปรแกรมในระบบสารสนเทศภูมิศาสตร์
 
 3(2-3-6)
 
 
 
 Programming in Geographic Information System
 
 
 
 เงื่อนไขของรายวิชา: CP 350 001 และ CP 372 002 หรือ SC 310 001 และ SC
 
 332 002#
 
 การเขียนโปรแกรมไพทอนขั้นแนะน ากับงานด้านภูมิสารสนเทศศาสตร์ในทางระบบสารสนเทศทาง
 
 ภูมิศาสตร์ การเขียนโปรแกรมไพทอนขั้นพื้นฐาน ความหมายของสคริปต์ แมโคร และ VBA ความแตกต่าง
 
 ระหว่าง VBA และ VB การสร้าง การใช้งานและการลบแมโคร พื้นฐานของ VBA การสร้าง Dialog box การ
 
 ใช้งาน VB Editor รูปแบบโครงสร้างค าสั่งของ VBA ตัวแปรไพทอน ตัวแปร ตัวแปรอเรย์ การควบคุมการไหล
 
 ของข้อมูล การท างานกับแฟ้มข้อมูลเชิงวัตถุ การค้นหาวัตถุ วิธีการและคุณสมบัติที่ต้องการ การใช้งานโมดูล
 
 มาตรฐานและโมดูลทางภูมิสารสนเทศศาสตร์ การเขียนโปรแกรมท างานกับฟังก์ชั่นต่างๆ ในโมดูล ArcPy การ
 
 ท างานแบบมีเงื่อนไขและการท าซ ้า การแก้ปัญหาความผิดพลาด พื้นฐาน ArcObject แนะน าการพัฒนา
 
 ArcGIS Desktop สถาปัตยกรรมซอฟต์แวร์ ArcGIS การปรับแต่งการท างานด้วยการใช้ตัวประสาน การใช้ผัง
 
 แบบจ าลองเชิงวัตถุ การสร้างเครื่องมือ การเขียนโปรแกรมด้วย ArcObject การใช้งานชุดค าสั่ง การจัดการ
 
 กับชุดข้อมูลและชั้นข้อมูล การจัดการข้อมูลคุณลักษณะ การแปลง การแสดงข้อมูล และการด าเนินการกับ
 
 ข้อมูลเวกเตอร์และแรสเตอร์
 
 Introduction to Python programming in Geo-informaticsIS, Python basic programming
 
 definition of script macro and VBA, VBA vs VB, creating running and deleting a macro, VBA
 
 basics, creating dialog box, getting started with VB editor, VBA syntax, python variables,
 
 program variables, array variable, flow control, working with file object, finding the objects,
 
 methods and properties, using standard modules and Geo-informatics modules, programming
 
 with functions in ArcPy module, making decisions and loops statement, debugging code,
 
 ArcObject basics, introducing ArcGIS desktop development, ArcGIS software architecture,
 
 customization of the user interface, using object model diagrams, making tools, programming
 
 with ArcObject, executing commands, dataset and layer management, attribute data
 
 management, data conversion, data display, vector and raster data operations
 
 ===========================================================
 
 CP 373 201
 
 
 
 การวิเคราะห์เชิงพื้นที่
 
 3(2-3-6)
 
 Geospatial Analysis
 
 
 
 เงื่อนไขของรายวิชา : CP 372 002 หรือ SC 332 002#
 
 
 
 วิธีการและแบบจ าลองข้อมูลเชิงพื้นที่ขั้นแนะน า สถิติเชิงพื้นที่ แบบจ าลองลักษณะทางภูมิประเทศ
 
 แบบจ าลองอุทกวิทยา การประมาณค่ารูปแบบกริดและการสร้างเส้นชั้นความสูง วิธีการประมาณค่าแบบสถิต
 
 เชิงพื้นที่ การวิเคราะห์โครงข่ายและสถานที่ตั้ง การตรวจสอบความถูกต้องเชิงพื้นที่ ข้อมูลขนาดใหญ่เบื้องต้น
 
 และการประยุกต์ใช้
 
 Introduction to spatial data models and methods, spatial statistics, terrain model,
 
 hydrologic model, gridding interpolation and contouring, geostatistical interpolation methods,
 
 network and location analysis, spatial accuracy assessment, introduction to big data, machine
 
 learning and applications"
ใน GIS วิชาถ้าเราไม่ผ่านวิชา CP 372 011 Fundamentals of Remote Sensing จะไม่สามารถลงวิชาไหนได้บ้าง,"CP 372 012
 
 
 
 การประมวลผลเชิงเลขของข้อมูลจากดาวเทียม
 
 3(2-3-6)
 
 
 
 Digital Processing of Satellite Data
 
 
 
 เงื่อนไขของรายวิชา: CP 372 011 หรือ SC 332 011#
 
 
 
 ข้อมูลเชิงเลขภาพถ่ายดาวเทียม การแสดงภาพ การแก้ไขเชิงคลื่นและเชิงต าแหน่ง การเน้นข้อมูลภาพ
 
 การจ าแนกภาพ การตรวจสอบความถูกต้อง การวิเคราะห์ภาพเชิงวัตถุ การประมวลผลภาพเรดาห์ช่องรับแสง
 
 สังเคราะห์เบื้องต้น การประมวลผลภาพถ่ายดาวเทียมบนระบบคลาวด์ การประยุกต์ข้อมูลภาพถ่ายจาก
 
 ดาวเทียมด้านการใช้ที่ดิน ป่าไม้ แหล่งน ้า และอื่นๆ
 
 Digital data of satellite image, image display, radiometric and geometric correction,
 
 image enhancement, image classification, accuracy assessment, object-based image analysis,
 
 basic of synthetic aperture radar image processing, image processing on the cloud, application
 
 for land use, forest, water resource and etc.
 
 ===========================================================
 
 CP 372 021
 
 
 
 ระบบดาวเทียมน าทางสากลขั้นแนะน า
 
 3(2-2-5)
 
 Introduction to Global Navigation Satellite System
 
 
 
 เงื่อนไขของรายวิชา: ไม่มี
 
 
 
 วิชานี้แนะน าหลักการพื้นฐานของระบบดาวเทียมน าทางสากล (GNSS) การระบุพิกัดด้วยดาวเทียม
 
 โครงสร้างของสัญญาณของระบบดาวเทียมน าทางสากล เครื่องรับสัญญาณของระบบดาวเทียมน าทางสากล
 
 การประมวลผลสัญญาณของระบบดาวเทียมน าทางสากล การรังวัดด้วยดาวเทียมแบบจลน์ และโครงข่ายการ
 
 รังวัดด้วยดาวเทียมแบบจลน์ รวมถึงการน าระบบดาวเทียมน าทางสากลไปประยุกต์ใช้งานในด้านต่าง ๆ
 
 This course is aimed to introduce the basic principles of the Global Navigation Satellite
 
 Systems (GNSS), satellite positioning, GNSS signal structures, GNSS receivers, GNSS data
 
 processing, Real Time Kinematic (RTK) GNSS and RTK GNSS Network. This course is also
 
 included the demonstration the various aspects of GNSS applications.
 
 ===========================================================
 
 CP 373 004 ภูมิสารสนเทศศาสตร์ประยุกต์
 
 3(2-3-6)
 
 
 
 Applied Geo-informatics
 
 
 
 เงื่อนไขของรายวิชา: CP 372 002 และ CP 372 011 หรือ SC 332 002 และ SC
 
 332 011#
 
 
 
 การประยุกต์ภูมิสารสนเทศในด้านการส ารวจทรัพยากรธรรมชาติและสิ่งแวดล้อม กระบวนการของ
 
 โลก การพัฒนาแบบยั่งยืนและการจัดการทรัพยากรแบบบูรณาการ การเฝ้าติดตามภัยพิบัติทางธรรมชาติและ
 
 การจัดการ การวิเคราะห์ทางสิ่งแวดล้อม การประยุกต์ภูมิสารสนเทศในหัวข้อต่าง ๆ
 
 Geo-information applications in natural resources and environment observation, earth
 
 process, sustainable development and integrated resources management, natural disaster
 
 monitoring and management, environmental analysis, the applications of geo-informatics in
 
 several topics
 
 ===========================================================
 
 CP 373 111
 
 
 
 การรับรู้จากระยะไกลด้วยคลื่นไมโครเวฟขั้นแนะน า
 
 3(3-0-6)
 
 Introduction to Microwave Remote Sensing
 
 
 
 เงื่อนไขของรายวิชา : CP 372 011#
 
 
 
 ความหมายของคลื่นไมโครเวฟและเรดาร์ สมการเรดาร์และช่วงคลื่น เรดาร์ช่องเปิดสังเคราะห์ เรดาร์
 
 ช่องเปิดจริง พารามิเตอร์ของระบบเรดาร์ พารามิเตอร์ของพื้นที่ เรขาคณิตของเรดาร์ อินเทอร์เฟอโรเมตรีของ
 
 เรดาร์ คุณลักษณะข้อมูลภาพเรดาร์ ประเภทของดาวเทียมเรดาร์ การแปลตีความข้อมูลและการใช้ประโยชน์
 
 จากดาวเทียมเรดาร์ การประมวลผลภาพเชิงเลข การประยุกต์ใช้ข้อมูลเรดาร์ด้านป่าไม้ ธรณีวิทยา อุทกวิทยา
 
 การใช้ที่ดินและอื่นๆ
 
 Definition of microwave and radar, radar equation and wavelength, synthetic aperture
 
 radar, real aperture radar, system parameters, ground parameters, radar geometry,
 
 interferometry, digital radar image processing, , radar image interpretation, characteristics of
 
 radar satellites and its applications in forestry, geology, hydrology, land use and others."
ใน GIS ขอดูรายละเอียดของ CP 373 201 Geospatial Analysis ต้องทำยังไง,"CP 373 201
 
 
 
 การวิเคราะห์เชิงพื้นที่
 
 3(2-3-6)
 
 Geospatial Analysis
 
 
 
 เงื่อนไขของรายวิชา : CP 372 002 หรือ SC 332 002#
 
 
 
 วิธีการและแบบจ าลองข้อมูลเชิงพื้นที่ขั้นแนะน า สถิติเชิงพื้นที่ แบบจ าลองลักษณะทางภูมิประเทศ
 
 แบบจ าลองอุทกวิทยา การประมาณค่ารูปแบบกริดและการสร้างเส้นชั้นความสูง วิธีการประมาณค่าแบบสถิต
 
 เชิงพื้นที่ การวิเคราะห์โครงข่ายและสถานที่ตั้ง การตรวจสอบความถูกต้องเชิงพื้นที่ ข้อมูลขนาดใหญ่เบื้องต้น
 
 และการประยุกต์ใช้
 
 Introduction to spatial data models and methods, spatial statistics, terrain model,
 
 hydrologic model, gridding interpolation and contouring, geostatistical interpolation methods,
 
 network and location analysis, spatial accuracy assessment, introduction to big data, machine
 
 learning and applications"
ใน GIS ขอดูรายละเอียดของ CP 373 112 Unmanned Aerial Vehicle Mapping หน่อย,"CP 373 112
 
 
 
 การท าแผนที่ด้วยอากาศยานไร้คนขับ
 
 3(2-3-6)
 
 Unmanned Aerial Vehicle Mapping
 
 
 
 เงื่อนไขของรายวิชา : ไม่มี
 
 
 
 การวางแผนและควบคุมการบินอากาศยานไร้คนขับเพื่อการท าแผนที่ การประมวลผลข้อมูลภาพถ่าย
 
 เพื่อจัดท าแผนที่หรือแบบจ าลอง 3 มิติ จุดควบคุม โฟโตแกรมเมตรี การวิเคราะห์ข้อมูลภาพถ่ายทางอากาศ
 
 รวมไปถึงการสกัดและจ าแนกวัตถุหรือข้อมูลเชิงพื้นที่อัตโนมัติ การประยุกต์ใช้อากาศยานไร้คนขับในงาน
 
 ส ารวจประเภทต่าง ๆ ประเด็นเรื่องกฎหมายและข้อบังคับในการใช้อากาศยานไร้คนขับ
 
 Planning and Piloting Unmanned Aerial Vehicle (UAV) for mapping, aerial image analysis
 
 for maps and 3D, ground control points, photogrametry, models creation, automated aerial
 
 image analysis for objects or spatial data classification, applications of UAV for surveys, rules
 
 and regulations of UAV"
ใน GIS ขอดูรายละเอียดของ วิชา CP 372 032 ระบบจัดการฐานข้อมูล และ การออกแบบฐานข้อมูล กับ CP 372 033 ปฏิบัติการระบบฐานข้อมูล และการออกแบบหน่อย,"CP 372 032 ระบบฐานข้อมูลและการออกแบบ
 
 Laboratory experiments to accompany **CP 372 032 Database Systems and Design
 
 
 
 **CP 371 001
 
 
 
 หลักมูลภูมิสารสนเทศศาสตร์
 
 3(3-0-6)
 
 Fundamentals of Geo-informatics
 
 
 
 เงื่อนไขของรายวิชา : ไม่มี
 
 
 
 วิวัฒนาการด้านเทคโนโลยีภูมิสารสนเทศ ค าจ ากัดความ องค์ประกอบ ระบบการท างาน และ
 
 ศักยภาพในการประยุกต์ใช้เทคโนโลยี 3S ซึ่งประกอบด้วย การรับรู้จากระยะไกล ระบบสารสนเทศภูมิศาสตร์
 
 และระบบน าทางด้วยดาวเทียม
 
 Development of Geo- Informatics technology, definitions, components of 3S
 
 technology systems including Remote Sensing (RS), Geographic Information System (GIS) and
 
 Global Navigation Satellite System (GNSS).
 
 
 
 ===========================================================
 
 CP 372 033
 
 
 
 ปฏิบัติการระบบฐานข้อมูลและการออกแบบ
 
 1(0-2-2)
 
 Database Management System and Database Design
 
 Laboratory
 
 
 
 เงื่อนไขของรายวิชา : ไม่มี
 
 
 
 การทดลองปฏิบัติการให้สอดคล้องกับวิชา **CP 372 032 ระบบฐานข้อมูลและการออกแบบ
 
 Laboratory experiments to accompany **CP 372 032 Database Systems and Design"
ใน GIS ขอดูรายละเอียดของ วิชา CP 373 101 City Planning and Geo-informatics กับ CP 373 112 Unmanned Aerial Vehicle Mapping หน่อย,"CP 373 101
 
 
 
 การวางผังเมืองและภูมิสารสนเทศศาสตร์
 
 3(3-0-6)
 
 City Planning and Geo-informatics
 
 
 
 เงื่อนไขของรายวิชา: ไม่มี
 
 ความหมายและองค์ประกอบทางกายภาพของชุมชนเมือง ลักษณะของผังเมืองรวมและการจ าแนก
 
 ประเภทของการใช้ประโยชน์ที่ดิน รวมถึงประเด็นเรื่องกฎหมายและข้อบังคับต่างๆ ทางด้านผังเมือง ปัจจัย
 
 เชิงพื้นที่และปัจจัยเชิงเศรษฐกิจและสังคมที่มีผลต่อการขยายตัวของชุมชนเมือง การวิเคราะห์ปัจจัยที่มีผลต่อ
 
 การเติบโตของชุมชนเมือง การสร้างแบบจ าลองการเติบโตของชุมชนเมืองด้วยการวิเคราะห์แบบซ้อนทับให้ค่า
 
 น ้าหนัก
 
 Definition of urban and its physical components. Characteristics of city comprehensive
 
 plan and land use types, including codes and regulations regard city planning. Physical and
 
 socio-economic driving factors influential to urban growth. Analysis of factors influencing
 
 urban growth. Urban growth modeling using weight overlay analysis.
 
 ===========================================================
 
 CP 373 112
 
 
 
 การท าแผนที่ด้วยอากาศยานไร้คนขับ
 
 3(2-3-6)
 
 Unmanned Aerial Vehicle Mapping
 
 
 
 เงื่อนไขของรายวิชา : ไม่มี
 
 
 
 การวางแผนและควบคุมการบินอากาศยานไร้คนขับเพื่อการท าแผนที่ การประมวลผลข้อมูลภาพถ่าย
 
 เพื่อจัดท าแผนที่หรือแบบจ าลอง 3 มิติ จุดควบคุม โฟโตแกรมเมตรี การวิเคราะห์ข้อมูลภาพถ่ายทางอากาศ
 
 รวมไปถึงการสกัดและจ าแนกวัตถุหรือข้อมูลเชิงพื้นที่อัตโนมัติ การประยุกต์ใช้อากาศยานไร้คนขับในงาน
 
 ส ารวจประเภทต่าง ๆ ประเด็นเรื่องกฎหมายและข้อบังคับในการใช้อากาศยานไร้คนขับ
 
 Planning and Piloting Unmanned Aerial Vehicle (UAV) for mapping, aerial image analysis
 
 for maps and 3D, ground control points, photogrametry, models creation, automated aerial
 
 image analysis for objects or spatial data classification, applications of UAV for surveys, rules
 
 and regulations of UAV"
ใน GIS ขอดูรายละเอียดของ วิชา CP 373 231 Web mapping application กับ CP 373 112 Unmanned Aerial Vehicle Mapping หน่อย,"CP 373 231
 
 
 
 การประยุกต์ท าแผนที่บนเว็บ
 
 3(2-3-6)
 
 
 
 Web mapping application
 
 
 
 เงื่อนไขของรายวิชา : ไม่มี
 
 
 
 เทคโนโลยีและแนวโน้มของระบบสารสนเทศภูมิศาสตร์ผ่านอินเตอร์เน็ตและแผนที่บนเว็บ
 
 ความหมายของการท าแผนที่บนเว็บ โครงสร้างและองค์ประกอบของการท าแผนที่บนเว็บ วิวัฒนาการของ
 
 เทคโนโลยีการท าแผนที่บนเว็บ พื้นฐานการพัฒนาและการประยุกต์ท าแผนที่บนเว็บ การใช้งานภาษา HTML
 
 Javascript PHP และ library ในการพัฒนาแผนที่บนเว็บ เช่น Leaflet และ Mapbox การพัฒนาแผนที่บน
 
 เว็บบนเฟรมเวิร์คที่นิยมในปัจจุบัน เช่น Node.js และ React
 
 Technology and trends of Internet Geographic Information System and web mapping,
 
 definition of web mapping, structures and components of web mapping, technology
 
 evolution of web mapping, basics of web application development using HTML, Javascript,
 
 PHP and related libraries such as Leaflet and Mapbox, modern web application framework
 
 such as Node.js and React.
 
 ===========================================================
 
 CP 373 112
 
 
 
 การท าแผนที่ด้วยอากาศยานไร้คนขับ
 
 3(2-3-6)
 
 Unmanned Aerial Vehicle Mapping
 
 
 
 เงื่อนไขของรายวิชา : ไม่มี
 
 
 
 การวางแผนและควบคุมการบินอากาศยานไร้คนขับเพื่อการท าแผนที่ การประมวลผลข้อมูลภาพถ่าย
 
 เพื่อจัดท าแผนที่หรือแบบจ าลอง 3 มิติ จุดควบคุม โฟโตแกรมเมตรี การวิเคราะห์ข้อมูลภาพถ่ายทางอากาศ
 
 รวมไปถึงการสกัดและจ าแนกวัตถุหรือข้อมูลเชิงพื้นที่อัตโนมัติ การประยุกต์ใช้อากาศยานไร้คนขับในงาน
 
 ส ารวจประเภทต่าง ๆ ประเด็นเรื่องกฎหมายและข้อบังคับในการใช้อากาศยานไร้คนขับ
 
 Planning and Piloting Unmanned Aerial Vehicle (UAV) for mapping, aerial image analysis
 
 for maps and 3D, ground control points, photogrametry, models creation, automated aerial
 
 image analysis for objects or spatial data classification, applications of UAV for surveys, rules
 
 and regulations of UAV"
ใน GIS ขอดูรายละเอียดของ วิชา CP 373 122 กับ CP 373 111 หน่อย,"CP 373 122
 
 
 
 การส ารวจรังวัดเบื้องต้น
 
 3(2-3-6)
 
 Introduction to Surveying
 
 
 
 เงื่อนไขของรายวิชา : ไม่มี
 
 
 
 นิยามและแนวคิดของการส ารวจรังวัด ทฤษฎีการวัดและความคลาดเคลื่อน การวัดระยะทางราบ การ
 
 ท าระดับ การวัดมุม เส้นชั้นความสูง ข้อมูลความสูงเชิงเลข การท าวงรอบ เส้นโครงแผนที่
 
 Definition and concept of survey, theory of measure and errors, horizontal
 
 measurement, leveling, angle measurement, contour, digital elevation model, traversing, map
 
 projection
 
 ===========================================================
 
 CP 373 111
 
 
 
 การรับรู้จากระยะไกลด้วยคลื่นไมโครเวฟขั้นแนะน า
 
 3(3-0-6)
 
 Introduction to Microwave Remote Sensing
 
 
 
 เงื่อนไขของรายวิชา : CP 372 011#
 
 
 
 ความหมายของคลื่นไมโครเวฟและเรดาร์ สมการเรดาร์และช่วงคลื่น เรดาร์ช่องเปิดสังเคราะห์ เรดาร์
 
 ช่องเปิดจริง พารามิเตอร์ของระบบเรดาร์ พารามิเตอร์ของพื้นที่ เรขาคณิตของเรดาร์ อินเทอร์เฟอโรเมตรีของ
 
 เรดาร์ คุณลักษณะข้อมูลภาพเรดาร์ ประเภทของดาวเทียมเรดาร์ การแปลตีความข้อมูลและการใช้ประโยชน์
 
 จากดาวเทียมเรดาร์ การประมวลผลภาพเชิงเลข การประยุกต์ใช้ข้อมูลเรดาร์ด้านป่าไม้ ธรณีวิทยา อุทกวิทยา
 
 การใช้ที่ดินและอื่นๆ
 
 Definition of microwave and radar, radar equation and wavelength, synthetic aperture
 
 radar, real aperture radar, system parameters, ground parameters, radar geometry,
 
 interferometry, digital radar image processing, , radar image interpretation, characteristics of
 
 radar satellites and its applications in forestry, geology, hydrology, land use and others."
ใน GIS วิชา CP 373 004 Applied Geo-informatics มีเงื่อนไขรายวิชา,"CP 373 004 ภูมิสารสนเทศศาสตร์ประยุกต์
 
 3(2-3-6)
 
 
 
 Applied Geo-informatics
 
 
 
 เงื่อนไขของรายวิชา: CP 372 002 และ CP 372 011 หรือ SC 332 002 และ SC
 
 332 011#
 
 
 
 การประยุกต์ภูมิสารสนเทศในด้านการส ารวจทรัพยากรธรรมชาติและสิ่งแวดล้อม กระบวนการของ
 
 โลก การพัฒนาแบบยั่งยืนและการจัดการทรัพยากรแบบบูรณาการ การเฝ้าติดตามภัยพิบัติทางธรรมชาติและ
 
 การจัดการ การวิเคราะห์ทางสิ่งแวดล้อม การประยุกต์ภูมิสารสนเทศในหัวข้อต่าง ๆ
 
 Geo-information applications in natural resources and environment observation, earth
 
 process, sustainable development and integrated resources management, natural disaster
 
 monitoring and management, environmental analysis, the applications of geo-informatics in
 
 several topics"
ใน GIS วิชา CP 373 032 Programming in Geographic Information System มีเงื่อนไขรายวิชาไหม,"CP 373 032
 
 
 
 การเขียนโปรแกรมในระบบสารสนเทศภูมิศาสตร์
 
 3(2-3-6)
 
 
 
 Programming in Geographic Information System
 
 
 
 เงื่อนไขของรายวิชา: CP 350 001 และ CP 372 002 หรือ SC 310 001 และ SC
 
 332 002#
 
 การเขียนโปรแกรมไพทอนขั้นแนะน ากับงานด้านภูมิสารสนเทศศาสตร์ในทางระบบสารสนเทศทาง
 
 ภูมิศาสตร์ การเขียนโปรแกรมไพทอนขั้นพื้นฐาน ความหมายของสคริปต์ แมโคร และ VBA ความแตกต่าง
 
 ระหว่าง VBA และ VB การสร้าง การใช้งานและการลบแมโคร พื้นฐานของ VBA การสร้าง Dialog box การ
 
 ใช้งาน VB Editor รูปแบบโครงสร้างค าสั่งของ VBA ตัวแปรไพทอน ตัวแปร ตัวแปรอเรย์ การควบคุมการไหล
 
 ของข้อมูล การท างานกับแฟ้มข้อมูลเชิงวัตถุ การค้นหาวัตถุ วิธีการและคุณสมบัติที่ต้องการ การใช้งานโมดูล
 
 มาตรฐานและโมดูลทางภูมิสารสนเทศศาสตร์ การเขียนโปรแกรมท างานกับฟังก์ชั่นต่างๆ ในโมดูล ArcPy การ
 
 ท างานแบบมีเงื่อนไขและการท าซ ้า การแก้ปัญหาความผิดพลาด พื้นฐาน ArcObject แนะน าการพัฒนา
 
 ArcGIS Desktop สถาปัตยกรรมซอฟต์แวร์ ArcGIS การปรับแต่งการท างานด้วยการใช้ตัวประสาน การใช้ผัง
 
 แบบจ าลองเชิงวัตถุ การสร้างเครื่องมือ การเขียนโปรแกรมด้วย ArcObject การใช้งานชุดค าสั่ง การจัดการ
 
 กับชุดข้อมูลและชั้นข้อมูล การจัดการข้อมูลคุณลักษณะ การแปลง การแสดงข้อมูล และการด าเนินการกับ
 
 ข้อมูลเวกเตอร์และแรสเตอร์
 
 Introduction to Python programming in Geo-informaticsIS, Python basic programming
 
 definition of script macro and VBA, VBA vs VB, creating running and deleting a macro, VBA
 
 basics, creating dialog box, getting started with VB editor, VBA syntax, python variables,
 
 program variables, array variable, flow control, working with file object, finding the objects,
 
 methods and properties, using standard modules and Geo-informatics modules, programming
 
 with functions in ArcPy module, making decisions and loops statement, debugging code,
 
 ArcObject basics, introducing ArcGIS desktop development, ArcGIS software architecture,
 
 customization of the user interface, using object model diagrams, making tools, programming
 
 with ArcObject, executing commands, dataset and layer management, attribute data
 
 management, data conversion, data display, vector and raster data operations"
ใน GIS วิชา CP 373 042 การวางแผนการใช้ที่ดินขั้นแนะนำ มีเงื่อนไขรายวิชาไหม,"CP 373 042
 
 
 
 การวางแผนการใช้ที่ดินขั้นแนะน า
 
 3(3-0-6)
 
 
 
 Introduction to Land Use Planning
 
 
 
 เงื่อนไขของรายวิชา : ไม่มี
 
 
 
 ที่ดิน หน่วยที่ดิน การบ่งชี้และการจ าแนกการใช้ที่ดิน การจัดการที่ดิน ธรรมชาติและขอบเขตการวาง
 
 แผนการใช้ที่ดิน กระบวนการวางแผน ขั้นตอนในการวางแผนการใช้ที่ดิน การเสื่อมโทรมของที่ดินและปัญหา
 
 การใช้ที่ดิน การประเมินที่ดิน กรณีศึกษาการวางแผนการใช้ที่ดิน
 
 Land, land unit, land use identification/classification, land management, nature and
 
 scope of land use planning, planning process, step in land use planning, factors affecting land
 
 degradation and land use problems, land evaluation, case study of land use planning."
ใน GIS ขอดูรายละเอียดของ วิชา SC 501 000 ฟิสิกส์ เบื้องต้นหน่อย,"SC 501 000
 
 ฟิสิกส์เบื้องต้น
 3(3-0-6)
 Elementary Physics
 
 เงื่อนไขของรายวิชา : ไม่มี
 
 ทฤษฎีและการประยุกต์ของกลศาสตร์ กลศาสตร์ของไหล ความร้อนและอุณหพลศาสตร์
 กระแสไฟฟ้า-อิเล็กทรอนิกส์ เสียง ทัศนศาสตร์ ฟิสิกส์อะตอม กัมมันตภาพรังสี
 Theories and applications of mechanics, fluid mechanics, heat and thermodynamics,
 electric current electronics, acoustics, optics, physics, atomic radio activity"
ใน GIS ขอดูรายละเอียดของ วิชา SC 602 007 หน่อย,"SC 602 007
 
 
 
 สถิติส าหรับวิทยาศาสตร์กายภาพ
 
 3(3-0-6)
 
 Statistics for Physical Science
 
 
 
 เงื่อนไขของรายวิชา : ไม่มี
 
 ความหมายและระเบียบวิธีสถิติความฉลาดรู้ทางข้อมูล การประยุกต์ของสถิติในการวิจัยทาง
 
 วิทยาศาสตร์กายภาพ การวัดแนวโน้มเข้าสู่ส่วนกลาง การวัดการกระจาย การแจกแจงปรกติ การแจกแจงค่า
 
 ตัวอย่าง การประมาณค่า การก าหนดขนาด ตัวอย่าง การทดสอบสมมติฐาน การทดสอบแบบไม่ใช้
 
 พารามิเตอร์ การวิเคราะห์ความแปรปรวน การเปรียบเทียบพหุคูณ การวิเคราะห์ข้อมูลเชิงจ าแนก การ
 
 วิเคราะห์สหสัมพันธ์และการถดถอยเชิงเส้น การวิเคราะห์ข้อมูลโดยใช้โปรแกรมส าเร็จรูปทาง สถิติและ
 
 ตัวอย่างข้อมูลทางวิทยาศาสตร์กายภาพ
 
 Meaning and statistics method, data literacy, application of statistics in physical science
 
 research, measures of central tendency, measures of dispersion, normal distribution, sampling
 
 distributions, estimation, sample size determination, hypothesis testing, nonparametric
 
 testing, analysis of variance, multiple comparisons, categorical data analysis, correlations and
 
 linear regression analysis, data analysis by using statistical package program and examples of
 
 physical data"
ใน GIS วิชา SC 401 006 คณิตศาสตร์ทั่วไป กับ วิชา SC 402 101 พีชคณิต เชิงเส้น 1 มันแตกต่างกันยังไง,"SC 401 006 คณิตศาสตร์ทั่วไป
 
 3(3-0-6)
 
 General Mathematics
 
 
 
 เงื่อนไขของรายวิชา : ไม่มี
 
 
 
 เวกเตอร์และเรขาคณิตวิเคราะห์ในปริภูมิ 3 มิติ เมทริกซ์ ระบบสมการเชิงเส้น ลิมิตและความต่อเนื่อง
 
 อนุพันธ์และการประยุกต์ ปริพันธ์และการประยุกต์
 
 Vectors and analytical geometry in 3 dimensional spaces, matrices, systems of linear
 
 equations, limits and continuity, derivatives and applications, integrals and applications
 
 ===========================================================
 
 SC 402 101
 
 
 
 พีชคณิตเชิงเส้น 1
 
 3(3-0-6)
 
 
 
 Linear Algebra I
 
 
 
 เงื่อนไขของรายวิชา : ไม่มี
 
 
 
 เมทริกซ์และดีเทอร์มิแนนท์ ระบบสมการเชิงเส้นและการด าเนินการขั้นมูลฐาน ปริภูมิเวกเตอร์ การ
 
 แปลงเชิงเส้น ค่าเฉพาะและเวกเตอร์เฉพาะและการประยุกต์
 
 Matrices and determinants, system of linear equations and elementary operations,
 
 vector spaces, linear transformations, eigenvalues and eigenvectors and applications"
